model_name,vendor,context_length,input_price_usd_per_m,output_price_usd_per_m,avg_price_usd_per_m
Meta: Llama 3.2 3B Instruct,meta-llama,131072,0.02,0.02,0.02
Meta: Llama 3.1 8B Instruct,meta-llama,131072,0.02,0.03,0.025
Mistral: Ministral 3B,mistralai,131072,0.04,0.04,0.04
Mistral: Mistral Nemo,mistralai,131072,0.02,0.04,0.03
Mistral: Mistral 7B Instruct,mistralai,32768,0.03,0.05,0.04
Mistral: Mistral 7B Instruct v0.3,mistralai,32768,0.03,0.05,0.04
Meta: Llama 3 8B Instruct,meta-llama,8192,0.03,0.06,0.045
Mistral: Mistral Small 3,mistralai,32768,0.05,0.08,0.065
Z.AI: GLM 4 32B ,z-ai,128000,0.1,0.1,0.1
Mistral: Mistral Small 3.1 24B,mistralai,128000,0.05,0.1,0.07500000000000001
